From the Audobon Societal Report on Bird Migration - http://web4.audubon.org/bird/bacc/techreport.html as reported on by the EPA,,,,,,,,,,,,,,,,,,,
"List of 305 species included in the analysis, along with their habitat guild classification, latitudinal distances moved, change in average distance from the coast, and continental population trend estimates.",,,,,,,,,,,,,,,,,,,
Species,Scientific_name,Habitat Guild (3 classes),Habitat Guild (5 classes),Feeder use,Mean latitude (40-year ave from regression),Latitudinal distance moved (miles),Lat. direction moved,F-value latitude slope,p-value slope,Mean dist. from coast (40-yr ave. from regression),Change in mean dist. from coast (miles),Shifted inland or to coast,F-value slope dist. to coast,p-value slope dist. to coast,# state or province strata,40-year Median Trend (% change per year),95% LCI Trend,95% UCI Trend,% of hemispheric range in CBC survey area
Swamp Sparrow,Melospiza georgiana,wetland/aquatic,wetland/aquatic,occasionally,33.44,-1.7,S,0.1,0.7591,188.6,1.7,inland,0.15,0.7053,48,-0.03,-0.6,0.5,77.1
White-throated Sparrow,Zonotrichia albicollis,land-based,woodland,regularly,34.89,109.1,N,127.54,<0.0001,200.7,59.8,inland,253.64,<0.0001,55,-0.17,-0.6,0.2,95.3
Harris's Sparrow,Zonotrichia querula,land-based,shrubland,regularly,38.17,-49.7,S,242.3,<0.0001,608.3,-55.5,to coast,386.98,<0.0001,39,-2.13,-3.1,-1.2,99.7
White-crowned Sparrow,Zonotrichia leucophrys,land-based,shrubland,regularly,36.33,21.7,N,12.46,0.0011,316.2,12.4,inland,2.55,0.1188,55,-0.48,-1.1,0.1,81.7
Golden-crowned Sparrow,Zonotrichia atricapilla,land-based,shrubland,regularly,38.92,155,N,158.2,<0.0001,131.7,3.9,inland,29.69,<0.0001,12,1.1,0.4,1.8,93.3
Dark-eyed Junco,Junco hyemalis,land-based,woodland,regularly,39.43,116.1,N,274.62,<0.0001,440.3,14.6,inland,7.06,0.0115,55,-0.12,-0.4,0.2,91.3
Lapland Longspur,*Calcarius lapponicus,land-based,grassland,rarely/never,39.54,36.6,N,1.08,0.3051,678.2,15,inland,0.38,0.5431,50,0.4,-3.3,3.9,97.8
Snow Bunting,*Plectrophenax nivalis,land-based,grassland,occasionally,48.54,-35.5,S,5.46,0.0249,605.6,-61.3,to coast,10.83,0.0022,43,-0.93,-3.2,0.9,71.4
Northern Cardinal,Cardinalis cardinalis,land-based,shrubland,regularly,36.6,58.9,N,58.82,<0.0001,369.6,46.2,inland,77.95,<0.0001,44,-0.08,-0.3,0.1,77.6
Red-winged Blackbird,Agelaius phoeniceus,land-based,generalist,regularly,34.06,99.3,N,276.39,<0.0001,274.6,118.5,inland,369.71,<0.0001,55,0.1,-0.7,1.1,82.4
Eastern Meadowlark,Sturnella magna,land-based,grassland,occasionally,33.85,-34.1,S,65.22,<0.0001,236.4,13,inland,14.7,0.0005,37,-3.27,-3.7,-2.8,58
Western Meadowlark,Sturnella neglecta,land-based,grassland,occasionally,37.51,-25.4,S,22.65,<0.0001,259.5,-42,to coast,35.4,<0.0001,30,-2.78,-3.4,-2.2,75.3
Yellow-headed Blackbird,Xanthocephalus xanthocephalus,wetland/aquatic,wetland/aquatic,rarely/never,35.45,-108.1,S,22.07,<0.0001,407.3,-2.6,to coast,0.17,0.6812,36,-0.55,-5.5,2.6,25
Rusty Blackbird,Euphagus carolinus,wetland/aquatic,wetland/aquatic,rarely/never,35.06,100.9,N,181.56,<0.0001,294.2,123.6,inland,237.9,<0.0001,52,-5.46,-7.1,-4.1,99.6
Brewer's Blackbird,Euphagus cyanocephalus,land-based,generalist,regularly,37.69,13.6,N,53.32,<0.0001,177.8,-14.7,to coast,174.58,<0.0001,46,-2.46,-3.2,-1.7,75
Common Grackle,Quiscalus quiscula,land-based,generalist,regularly,33.12,-46.3,S,77.35,<0.0001,183.1,-42.9,to coast,78.58,<0.0001,48,-4.24,-6.1,-2.6,99.5
Brown-headed Cowbird,Molothrus ater,land-based,generalist,regularly,32.86,-18.5,S,11.64,0.0015,227.7,-2.3,to coast,1.35,0.2527,51,-3.05,-4.2,-2,68.4
"""Northern"" Oriole (lumped)",,land-based,woodland,occasionally,34.42,21.1,N,7.31,0.0102,108.9,-8,to coast,1.73,0.1963,33,-2.72,-3.9,-1.7,5.3
Pine Grosbeak,Pinicola enucleator,land-based,woodland,regularly,49.79,148.3,N,7.65,0.0087,461.8,-127.2,to coast,6.87,0.0125,38,-0.78,-4.1,2.1,45.3
Purple Finch,Carpodacus purpureus,land-based,woodland,regularly,40.11,433,N,89.13,<0.0001,389.7,229.7,inland,121.43,<0.0001,53,-2.27,-3.2,-1.5,98.8
Cassin's Finch,Carpodacus cassinii,land-based,woodland,regularly,40.65,12.5,N,0.06,0.8112,523.6,-42.9,to coast,2.62,0.1137,13,-1.4,-4.2,1.7,77.9
House Finch,Carpodacus mexicanus,land-based,generalist,regularly,39.54,269.8,N,2388.68,<0.0001,290.3,172.5,inland,129.94,<0.0001,54,2.6,2,3.1,78.8
Red Crossbill,Loxia curvirostra,land-based,woodland,occasionally,48.94,38.8,N,0.22,0.6389,317.6,1.2,inland,0,0.9845,48,-1.51,-5.2,1.5,74.9
White-winged Crossbill,Loxia leucoptera,land-based,woodland,occasionally,51.37,27.2,N,0.09,0.7698,328.2,-50.7,to coast,0.27,0.6074,34,-0.32,-5.1,3.8,50.7
Common Redpoll,Carduelis flammea,land-based,shrubland,regularly,49.37,19.1,N,0.1,0.7516,611.7,-257.9,to coast,16.18,0.0003,41,0.6,-3.3,3.9,51.3
Hoary Redpoll,Carduelis hornemanni,land-based,shrubland,regularly,50.82,-26.9,S,0.78,0.383,657.7,-119.4,to coast,3.47,0.0703,18,-4.97,-9.1,-1.5,43.8
Pine Siskin,Carduelis pinus,land-based,woodland,regularly,46.56,288.2,N,11.19,0.0019,346,26.5,inland,0.27,0.6052,55,1,-0.9,2.6,78.7
Lesser Goldfinch,Carduelis psaltria,land-based,generalist,regularly,37.12,-6.3,S,0.92,0.3428,194.9,61.4,inland,53.02,<0.0001,9,1.2,-0.1,2.6,30.5
American Goldfinch,Carduelis tristis,land-based,generalist,regularly,38.56,219.1,N,143.14,<0.0001,425.1,94.9,inland,89.82,<0.0001,54,1.5,1.2,1.7,93.7
Evening Grosbeak,Coccothraustes vespertinus,land-based,woodland,regularly,46.81,68.7,N,2.28,0.139,351.3,-71.1,to coast,4.26,0.0459,54,-5.08,-7.2,-3.2,88.3
House Sparrow,Passer domesticus,land-based,generalist,regularly,42.34,77.4,N,352.52,<0.0001,630.1,16.1,inland,9.79,0.0034,54,-2.21,-2.5,-2,40.9
